step,K,T_I,T_D,P,I,D,ds,left speed,right speed
51,0.01,9999999999,0,0.3439714285714288,-2.6081316574036706e-10,-0.0,0.39397142831061566,1.6060285716893843,2.3939714283106155
52,0.01,9999999999,0,0.47111428571428604,-2.577980343114941e-10,0.0,0.521114285456488,1.478885714543512,2.521114285456488
53,0.01,9999999999,0,0.5268285714285716,-2.544263314540141e-10,0.0,0.5768285711741453,1.4231714288258548,2.576828571174145
54,0.01,9999999999,0,0.6982571428571425,-2.499574857392815e-10,0.0,0.748257142607185,1.251742857392815,2.748257142607185
55,0.01,9999999999,0,0.5268285714285716,-2.465857828818015e-10,-0.0,0.5768285711819859,1.423171428818014,2.576828571181986
56,0.01,9999999999,0,0.7239714285714292,-2.4195236573848097e-10,0.0,0.7739714283294769,1.2260285716705233,2.7739714283294767
57,0.01,9999999999,0,0.7639714285714291,-2.370629485951349e-10,0.0,0.8139714283343662,1.1860285716656338,2.813971428334366
58,0.01,9999999999,0,0.8768285714285718,-2.3145124573743087e-10,0.0,0.9268285711971207,1.0731714288028793,2.9268285711971207
59,0.01,9999999999,0,0.8396857142857147,-2.260772571654649e-10,-0.0,0.8896857140596375,1.1103142859403625,2.8896857140596373
60,0.01,9999999999,0,0.808257142857143,-2.2090441145066188e-10,-0.0,0.8582571426362386,1.1417428573637614,2.858257142636239
61,0.01,9999999999,0,1.0096857142857147,-2.144424228785871e-10,0.0,1.0596857140712723,0.9403142859287277,3.0596857140712723
62,0.01,9999999999,0,1.0625428571428575,-2.0764214859219276e-10,0.0,1.1125428569352154,0.8874571430647846,3.1125428569352156
63,0.01,9999999999,0,1.0411142857142859,-2.00979017162955e-10,-0.0,1.091114285513307,0.9088857144866931,3.091114285513307
64,0.01,9999999999,0,1.103971428571429,-1.9391360001939133e-10,0.0,1.1539714283775155,0.8460285716224845,3.1539714283775155
65,0.01,9999999999,0,1.1496857142857146,-1.8655561144722697e-10,0.0,1.199685714099159,0.800314285900841,3.199685714099159
66,0.01,9999999999,0,1.056828571428572,-1.7979190858940775e-10,-0.0,1.10682857124878,0.89317142875122,3.10682857124878
67,0.01,9999999999,0,1.1525428571428575,-1.7241563430295587e-10,0.0,1.202542856970442,0.7974571430295581,3.202542856970442
68,0.01,9999999999,0,1.0268285714285719,-1.6584393144515582e-10,-0.0,1.076828571262728,0.9231714287372721,3.0768285712627277
69,0.01,9999999999,0,1.0354000000000003,-1.5921737144449314e-10,0.0,1.085399999840783,0.9146000001592169,3.0853999998407833
70,0.01,9999999999,0,0.9911142857142857,-1.5287424001528739e-10,-0.0,1.0411142855614115,0.9588857144385885,3.0411142855614113
71,0.01,9999999999,0,1.0511142857142857,-1.4614710858604324e-10,0.0,1.1011142855681386,0.8988857144318614,3.101114285568139
72,0.01,9999999999,0,1.1296857142857146,-1.3891712001389166e-10,0.0,1.1796857141467976,0.8203142858532024,3.179685714146798
73,0.01,9999999999,0,1.058257142857143,-1.3214427429892867e-10,-0.0,1.1082571427249988,0.8917428572750012,3.108257142724999
74,0.01,9999999999,0,1.093971428571429,-1.2514285715537138e-10,0.0,1.1439714284462863,0.8560285715537137,3.143971428446286
75,0.01,9999999999,0,0.9725428571428575,-1.1891858286903467e-10,-0.0,1.022542857023939,0.977457142976061,3.022542857023939
76,0.01,9999999999,0,0.9325428571428575,-1.1295030858272354e-10,-0.0,0.9825428570299072,1.017457142970093,2.982542857029907
77,0.01,9999999999,0,0.9111142857142858,-1.07119177153569e-10,-0.0,0.9611142856071666,1.0388857143928334,2.9611142856071666
78,0.01,9999999999,0,0.918257142857143,-1.012423314386956e-10,0.0,0.9682571427559007,1.0317428572440992,2.968257142755901
79,0.01,9999999999,0,0.9068285714285719,-9.543862858097236e-11,-0.0,0.9568285713331333,1.0431714286668667,2.9568285713331335
80,0.01,9999999999,0,0.958257142857143,-8.930578286607337e-11,0.0,1.0082571427678373,0.9917428572321627,3.008257142767837
81,0.01,9999999999,0,0.9596857142857147,-8.31637942940306e-11,0.0,1.0096857142025508,0.9903142857974492,3.0096857142025506
82,0.01,9999999999,0,0.8568285714285719,-7.768009143633937e-11,-0.0,0.9068285713508919,1.093171428649108,2.906828571350892
83,0.01,9999999999,0,0.8139714285714291,-7.247067429296128e-11,-0.0,0.8639714284989585,1.1360285715010416,2.8639714284989584
84,0.01,9999999999,0,0.8325428571428575,-6.714240000671416e-11,0.0,0.8825428570757151,1.1174571429242848,2.8825428570757152
85,0.01,9999999999,0,0.8154000000000002,-6.192384000619231e-11,-0.0,0.8653999999380765,1.1346000000619236,2.8653999999380764
86,0.01,9999999999,0,0.7825428571428569,-5.691556571997719e-11,-0.0,0.8325428570859413,1.1674571429140586,2.8325428570859414
87,0.01,9999999999,0,0.6739714285714286,-5.260214857668871e-11,-0.0,0.7239714285188265,1.2760285714811737,2.7239714285188263
88,0.01,9999999999,0,0.5811142857142858,-4.8883017147745366e-11,-0.0,0.6311142856654028,1.3688857143345972,2.6311142856654026
89,0.01,9999999999,0,0.5568285714285713,-4.531931429024614e-11,-0.0,0.6068285713832521,1.393171428616748,2.606828571383252
90,0.01,9999999999,0,0.5696857142857141,-4.167332571845297e-11,0.0,0.6196857142440408,1.3803142857559592,2.619685714244041
91,0.01,9999999999,0,0.5111142857142857,-3.840219428955443e-11,-0.0,0.5611142856758836,1.4388857143241163,2.5611142856758837
92,0.01,9999999999,0,0.4996857142857144,-3.520420571780606e-11,-0.0,0.5496857142505102,1.45031428574949,2.54968571425051
93,0.01,9999999999,0,0.41111428571428577,-3.2573074288971515e-11,-0.0,0.4611142856817127,1.5388857143182872,2.4611142856817128
94,0.01,9999999999,0,0.3753999999999996,-3.017051428873126e-11,-0.0,0.4253999999698291,1.574600000030171,2.4253999999698292
95,0.01,9999999999,0,0.36539999999999967,-2.7831954288497407e-11,-0.0,0.4153999999721677,1.5846000000278324,2.4153999999721676
96,0.01,9999999999,0,0.33682857142857103,-2.5676251431138978e-11,-0.0,0.3868285714028948,1.6131714285971053,2.3868285714028947
97,0.01,9999999999,0,0.31968571428571435,-2.363026285950581e-11,-0.0,0.3696857142620841,1.6303142857379158,2.369685714262084
98,0.01,9999999999,0,0.27111428571428575,-2.1895131430760867e-11,-0.0,0.3211142856923906,1.6788857143076095,2.3211142856923908
99,0.01,9999999999,0,0.26968571428571436,-2.0169142859159695e-11,-0.0,0.3196857142655452,1.6803142857344548,2.319685714265545
100,0.01,9999999999,0,0.2525428571428571,-1.855286857328378e-11,-0.0,0.30254285712430423,1.6974571428756957,2.3025428571243043
101,0.01,9999999999,0,0.2068285714285713,-1.7229165716008557e-11,-0.0,0.25682857141134213,1.743171428588658,2.2568285714113423
102,0.01,9999999999,0,0.19111428571428576,-1.6006034287314817e-11,-0.0,0.24111428569827975,1.7588857143017202,2.2411142856982798
103,0.01,9999999999,0,0.22825714285714271,-1.4545188572883015e-11,0.0,0.2782571428425975,1.7217428571574025,2.2782571428425973
104,0.01,9999999999,0,0.12397142857142854,-1.3751771429946532e-11,-0.0,0.17397142855767678,1.8260285714423232,2.1739714285576768
105,0.01,9999999999,0,0.10968571428571437,-1.3049782858447762e-11,-0.0,0.1596857142726646,1.8403142857273354,2.1596857142726646
106,0.01,9999999999,0,0.12111428571428576,-1.2274651429798818e-11,0.0,0.1711142857020111,1.8288857142979889,2.171114285702011
107,0.01,9999999999,0,0.1082571428571427,-1.1581805715443821e-11,-0.0,0.15825714284556092,1.841742857154439,2.158257142845561
108,0.01,9999999999,0,0.08254285714285714,-1.1053531429676708e-11,-0.0,0.1325428571318036,1.8674571428681963,2.1325428571318037
109,0.01,9999999999,0,0.05682857142857131,-1.0689828572497481e-11,-0.0,0.10682857141788149,1.8931714285821184,2.1068285714178816
110,0.01,9999999999,0,0.033971428571428534,-1.0472411429618598e-11,-0.0,0.08397142856095613,1.916028571439044,2.083971428560956
111,0.01,9999999999,0,-0.05031428571428563,-1.0794422858222227e-11,-0.0,-0.00031428572508004904,2.00031428572508,1.99968571427492
112,0.01,9999999999,0,-0.020314285714285632,-1.0924434286806657e-11,0.0,0.029685714274789936,1.97031428572521,2.0296857142747897
113,0.01,9999999999,0,-0.04745714285714286,-1.1228160001122745e-11,-0.0,0.002542857131628988,1.997457142868371,2.002542857131629
114,0.01,9999999999,0,-0.06174285714285731,-1.1623314286876547e-11,-0.0,-0.011742857154480618,2.0117428571544806,1.9882571428455194
115,0.01,9999999999,0,-0.13888571428571425,-1.2512182858394005e-11,-0.0,-0.08888571429822643,2.0888857142982262,1.9111142857017736
116,0.01,9999999999,0,-0.08174285714285731,-1.3035337144160608e-11,0.0,-0.031742857155892645,2.0317428571558924,1.9682571428441074
117,0.01,9999999999,0,-0.13745714285714286,-1.3915062858534294e-11,-0.0,-0.08745714287105792,2.0874571428710578,1.912542857128942
118,0.01,9999999999,0,-0.0931714285714287,-1.4511360001451067e-11,0.0,-0.04317142858594006,2.04317142858594,1.9568285714140599
119,0.01,9999999999,0,-0.1746000000000001,-1.562880000156281e-11,-0.0,-0.12460000001562889,2.124600000015629,1.8753999999843711
120,0.01,9999999999,0,-0.18460000000000007,-1.6810240001680958e-11,-0.0,-0.13460000001681033,2.1346000000168104,1.8653999999831896
121,0.01,9999999999,0,-0.1931714285714287,-1.804653714466173e-11,-0.0,-0.14317142858947524,2.143171428589475,1.8568285714105248
122,0.01,9999999999,0,-0.13602857142857147,-1.8917120001891645e-11,0.0,-0.08602857144748859,2.0860285714474887,1.9139714285525113
123,0.01,9999999999,0,-0.20602857142857148,-2.0235702859166362e-11,-0.0,-0.15602857144880716,2.156028571448807,1.8439714285511928
124,0.01,9999999999,0,-0.20888571428571426,-2.157257143072862e-11,-0.0,-0.15888571430728682,2.158885714307287,1.8411142856927132
125,0.01,9999999999,0,-0.2017428571428573,-2.2863725716572022e-11,0.0,-0.15174285716572106,2.151742857165721,1.8482571428342789
126,0.01,9999999999,0,-0.24745714285714285,-2.4447451431016106e-11,-0.0,-0.19745714288159028,2.19745714288159,1.8025428571184097
127,0.01,9999999999,0,-0.2917428571428573,-2.6314605716917107e-11,-0.0,-0.24174285716917193,2.241742857169172,1.758257142830828
128,0.01,9999999999,0,-0.27888571428571424,-2.8099474288524167e-11,0.0,-0.22888571431381372,2.228885714313814,1.7711142856861863
129,0.01,9999999999,0,-0.29031428571428564,-2.995748571728139e-11,-0.0,-0.24031428574424313,2.240314285744243,1.759685714255757
130,0.01,9999999999,0,-0.2803142857142856,-3.175149714603222e-11,0.0,-0.23031428574603713,2.230314285746037,1.7696857142539628
131,0.01,9999999999,0,-0.27745714285714285,-3.352722286049551e-11,0.0,-0.2274571428906701,2.22745714289067,1.7725428571093298
132,0.01,9999999999,0,-0.3146000000000001,-3.554066286069686e-11,-0.0,-0.2646000000355408,2.2646000000355406,1.7353999999644592
133,0.01,9999999999,0,-0.2703142857142856,-3.7270674289441294e-11,0.0,-0.22031428575155632,2.2203142857515563,1.7796857142484437
134,0.01,9999999999,0,-0.3417428571428573,-3.945782857537429e-11,-0.0,-0.29174285718231513,2.291742857182315,1.708257142817685
135,0.01,9999999999,0,-0.3531714285714287,-4.171812571845746e-11,-0.0,-0.30317142861314683,2.3031714286131466,1.6968285713868532
136,0.01,9999999999,0,-0.33460000000000006,-4.3859565718671614e-11,0.0,-0.28460000004385966,2.2846000000438598,1.7153999999561402
137,0.01,9999999999,0,-0.35745714285714286,-4.614729143318609e-11,-0.0,-0.3074571429032902,2.3074571429032904,1.6925428570967098
138,0.01,9999999999,0,-0.35602857142857147,-4.842587429055681e-11,0.0,-0.30602857147699736,2.3060285714769972,1.6939714285230028
139,0.01,9999999999,0,-0.3746000000000001,-5.082331429079656e-11,-0.0,-0.3246000000508234,2.3246000000508236,1.6753999999491767
140,0.01,9999999999,0,-0.36031428571428564,-5.312932571959859e-11,0.0,-0.310314285767415,2.310314285767415,1.689685714232585
141,0.01,9999999999,0,-0.3517428571428573,-5.538048000553799e-11,0.0,-0.3017428571982378,2.3017428571982377,1.6982571428017623
142,0.01,9999999999,0,-0.36888571428571426,-5.7741348577202646e-11,-0.0,-0.31888571434345564,2.318885714343456,1.6811142856565444
143,0.01,9999999999,0,-0.35745714285714286,-6.002907429171713e-11,0.0,-0.30745714291717197,2.3074571429171717,1.692542857082828
144,0.01,9999999999,0,-0.41031428571428563,-6.265508572055116e-11,-0.0,-0.36031428577694075,2.3603142857769406,1.6396857142230592
145,0.01,9999999999,0,-0.3617428571428573,-6.497024000649697e-11,0.0,-0.3117428572078276,2.3117428572078276,1.6882571427921724
146,0.01,9999999999,0,-0.34888571428571424,-6.720310857814882e-11,0.0,-0.2988857143529174,2.2988857143529176,1.7011142856470827
147,0.01,9999999999,0,-0.3417428571428573,-6.939026286408183e-11,0.0,-0.2917428572122476,2.2917428572122476,1.7082571427877524
148,0.01,9999999999,0,-0.3774571428571429,-7.180598857860911e-11,-0.0,-0.3274571429289489,2.327457142928949,1.672542857071051
149,0.01,9999999999,0,-0.3188857142857143,-7.384685715024178e-11,0.0,-0.26888571435956116,2.2688857143595613,1.731114285640439
150,0.01,9999999999,0,-0.29745714285714286,-7.575058286471786e-11,0.0,-0.24745714293289345,2.2474571429328933,1.7525428570671067
151,0.01,9999999999,0,-0.28888571428571425,-7.75994514363313e-11,0.0,-0.23888571436331368,2.2388857143633136,1.7611142856366864
152,0.01,9999999999,0,-0.2960285714285715,-7.949403429366362e-11,-0.0,-0.2460285715080655,2.2460285715080657,1.7539714284919345
153,0.01,9999999999,0,-0.27888571428571424,-8.127890286527069e-11,0.0,-0.22888571436699318,2.228885714366993,1.7711142856330069
154,0.01,9999999999,0,-0.26602857142857145,-8.298148572258381e-11,0.0,-0.21602857151155297,2.216028571511553,1.7839714284884471
155,0.01,9999999999,0,-0.16888571428571425,-8.406235429412046e-11,0.0,-0.11888571436977659,2.118885714369777,1.8811142856302234
156,0.01,9999999999,0,-0.23602857142857148,-8.557293715141438e-11,-0.0,-0.18602857151414443,2.1860285715141443,1.8139714284858557
157,0.01,9999999999,0,-0.2217428571428573,-8.699209143727059e-11,0.0,-0.1717428572298494,2.1717428572298494,1.8282571427701506
158,0.01,9999999999,0,-0.23602857142857148,-8.850267429456448e-11,-0.0,-0.18602857151707414,2.186028571517074,1.8139714284829258
159,0.01,9999999999,0,-0.20745714285714287,-8.983040000898299e-11,0.0,-0.15745714294697327,2.1574571429469733,1.8425428570530267
160,0.01,9999999999,0,-0.24888571428571424,-9.142326858057084e-11,-0.0,-0.19888571437713748,2.1988857143771376,1.8011142856228626
161,0.01,9999999999,0,-0.2317428571428573,-9.290642286643344e-11,0.0,-0.18174285723576372,2.1817428572357636,1.8182571427642362
162,0.01,9999999999,0,-0.20888571428571426,-9.424329143799571e-11,0.0,-0.15888571437995752,2.1588857143799576,1.8411142856200424
163,0.01,9999999999,0,-0.2245999999999998,-9.568073143813944e-11,-0.0,-0.17460000009568055,2.1746000000956807,1.8253999999043193
164,0.01,9999999999,0,-0.20888571428571395,-9.701760000970169e-11,0.0,-0.15888571438273152,2.1588857143827314,1.8411142856172684
165,0.01,9999999999,0,-0.18602857142857118,-9.82081828669636e-11,0.0,-0.13602857152677938,2.1360285715267793,1.8639714284732207
166,0.01,9999999999,0,-0.17174285714285673,-9.930733715278779e-11,0.0,-0.12174285724216406,2.121742857242164,1.8782571427578358
167,0.01,9999999999,0,-0.16745714285714258,-1.0037906286718068e-10,0.0,-0.11745714295752165,2.1174571429575217,1.8825428570424783
168,0.01,9999999999,0,-0.16174285714285674,-1.0141421715299849e-10,0.0,-0.11174285724427095,2.111742857244271,1.888257142755729
169,0.01,9999999999,0,-0.16174285714285674,-1.0244937143881629e-10,0.0,-0.11174285724530612,2.1117428572453063,1.888257142754694
170,0.01,9999999999,0,-0.1231714285714284,-1.0323766858175228e-10,0.0,-0.07317142867466607,2.073171428674666,1.926828571325334
171,0.01,9999999999,0,-0.09745714285714258,-1.0386139429610035e-10,0.0,-0.047457142961003965,2.047457142961004,1.952542857038996
172,0.01,9999999999,0,-0.11602857142857119,-1.0460397715331747e-10,-0.0,-0.06602857153317516,2.066028571533175,1.9339714284668248
173,0.01,9999999999,0,-0.11174285714285674,-1.0531913143910326e-10,0.0,-0.06174285724817587,2.0617428572481757,1.938257142751824
174,0.01,9999999999,0,-0.05174285714285674,-1.0565028572485065e-10,0.0,-0.001742857248507021,2.001742857248507,1.998257142751493
175,0.01,9999999999,0,-0.07459999999999979,-1.061277257248984e-10,-0.0,-0.02460000010612752,2.0246000001061275,1.9753999998938725
176,0.01,9999999999,0,-0.0945999999999998,-1.0673316572495893e-10,-0.0,-0.04460000010673296,2.044600000106733,1.955399999893267
177,0.01,9999999999,0,-0.05317142857142841,-1.070734628678501e-10,0.0,-0.0031714286785018697,2.003171428678502,1.9968285713214982
178,0.01,9999999999,0,-0.09174285714285674,-1.076606171536231e-10,-0.0,-0.04174285725051735,2.0417428572505174,1.9582571427494826
179,0.01,9999999999,0,-0.0631714285714284,-1.0806491429652068e-10,0.0,-0.013171428679493322,2.0131714286794935,1.9868285713205067
180,0.01,9999999999,0,-0.04602857142857118,-1.0835949715369299e-10,0.0,0.003971428463069325,1.9960285715369306,2.0039714284630694
181,0.01,9999999999,0,-0.05174285714285674,-1.0869065143944038e-10,-0.0,-0.0017428572515473875,2.001742857251547,1.9982571427484526
182,0.01,9999999999,0,-0.04745714285714257,-1.0899437715375648e-10,0.0,0.002542857033863054,1.997457142966137,2.002542857033863
183,0.01,9999999999,0,-0.006028571428571184,-1.0903296001090318e-10,0.0,0.04397142846239586,1.9560285715376042,2.0439714284623958
184,0.01,9999999999,0,-0.04031428571428535,-1.0929097143950041e-10,-0.0,0.00968571417642368,1.9903142858235763,2.0096857141764235
185,0.01,9999999999,0,0.03254285714285743,-1.0908269715376531e-10,0.0,0.08254285703377473,1.9174571429662253,2.0825428570337747
186,0.01,9999999999,0,-0.01745714285714257,-1.0919442286806219e-10,-0.0,0.03254285703366301,1.967457142966337,2.032542857033663
187,0.01,9999999999,0,-0.0031714285714284076,-1.0921472001092136e-10,0.0,0.046828571319356874,1.9531714286806432,2.046828571319357
188,0.01,9999999999,0,0.008257142857143265,-1.0916187429663035e-10,0.0,0.0582571427479814,1.9417428572520186,2.058257142747981
189,0.01,9999999999,0,0.09397142857142882,-1.0856045715371307e-10,0.0,0.14397142846286837,1.8560285715371316,2.1439714284628684
190,0.01,9999999999,0,0.013971428571428817,-1.0847104001084698e-10,-0.0,0.06397142846295778,1.9360285715370422,2.063971428462958
191,0.01,9999999999,0,-0.006028571428571184,-1.0850962286799369e-10,-0.0,0.043971428462919196,1.9560285715370809,2.0439714284629193
192,0.01,9999999999,0,-0.02460000000000008,-1.0866706286800944e-10,-0.0,0.02539999989133286,1.9746000001086672,2.025399999891333
193,0.01,9999999999,0,0.025400000000000204,-1.0850450286799319e-10,0.0,0.0753999998914957,1.9246000001085042,2.075399999891496
194,0.01,9999999999,0,0.04111428571428604,-1.0824137143939544e-10,0.0,0.09111428560604468,1.9088857143939553,2.0911142856060447
195,0.01,9999999999,0,0.053971428571428816,-1.0789595429650374e-10,0.0,0.10397142846353286,1.896028571536467,2.1039714284635327
196,0.01,9999999999,0,0.023971428571428817,-1.0774253715363125e-10,-0.0,0.07397142846368629,1.9260285715363137,2.073971428463686
197,0.01,9999999999,0,0.046828571428571594,-1.0744283429645843e-10,0.0,0.09682857132112876,1.9031714286788712,2.0968285713211285
198,0.01,9999999999,0,0.07111428571428605,-1.0698770286784149e-10,0.0,0.12111428560729835,1.8788857143927016,2.121114285607298
199,0.01,9999999999,0,0.07825714285714326,-1.0648685715350567e-10,0.0,0.12825714275065642,1.8717428572493435,2.1282571427506563
200,0.01,9999999999,0,0.053971428571428816,-1.0614144001061399e-10,-0.0,0.10397142846528737,1.8960285715347127,2.1039714284652873
201,0.01,9999999999,0,0.09111428571428604,-1.0555830858198425e-10,0.0,0.14111428560872774,1.8588857143912723,2.1411142856087277
202,0.01,9999999999,0,0.10254285714285744,-1.0490203429620434e-10,0.0,0.1525428570379554,1.8474571429620446,2.1525428570379552
203,0.01,9999999999,0,0.10111428571428605,-1.0425490286756819e-10,-0.0,0.15111428561003115,1.8488857143899688,2.1511142856100314
204,0.01,9999999999,0,0.019685714285714653,-1.0412891429612701e-10,-0.0,0.06968571418158574,1.9303142858184144,2.0696857141815856
205,0.01,9999999999,0,0.055400000000000206,-1.0377435429609154e-10,0.0,0.10539999989622585,1.8946000001037742,2.105399999896226
206,0.01,9999999999,0,0.08397142857142882,-1.0323693715318065e-10,0.0,0.13397142846819188,1.8660285715318081,2.133971428468192
207,0.01,9999999999,0,0.11254285714285743,-1.0251666286739434e-10,0.0,0.16254285704034077,1.8374571429596593,2.1625428570403407
