step,gs0,gs1,gs2,
602,960,960,960,
603,960,961,960,
604,960,961,960,
605,960,960,960,
606,960,960,960,
607,960,961,960,
608,960,961,960,
609,960,961,959,
610,960,961,959,
611,960,961,960,
612,960,961,960,
613,960,961,960,
614,960,961,960,
615,960,961,960,
616,960,961,960,
617,960,960,960,
618,960,960,960,
619,960,960,959,
620,960,960,959,
621,960,960,960,
622,960,960,960,
623,961,961,960,
624,961,961,960,
625,960,960,959,
626,960,960,959,
627,960,961,959,
628,960,961,959,
629,960,960,959,
630,960,960,959,
631,960,961,959,
632,960,961,959,
633,960,959,961,
634,960,959,961,
635,960,961,960,
636,960,961,960,
637,960,961,959,
638,960,961,959,
639,960,961,959,
640,960,960,959,
641,960,960,959,
642,960,959,959,
643,960,959,959,
644,960,959,959,
645,960,959,959,
646,961,959,959,
647,961,959,959,
648,960,959,957,
649,960,959,957,
650,960,959,953,
651,960,959,953,
652,961,959,952,
653,961,959,952,
654,960,959,952,
655,960,959,952,
656,960,960,952,
657,960,960,952,
658,960,956,952,
659,960,956,952,
660,960,953,952,
661,960,953,952,
662,960,953,952,
663,960,953,952,
664,960,952,952,
665,960,952,952,
666,960,952,952,
667,960,952,952,
668,958,952,952,
669,958,952,952,
670,952,952,952,
671,952,952,952,
672,952,953,955,
673,952,953,955,
674,952,952,958,
675,952,952,959,
676,952,952,959,
677,953,951,957,
678,953,951,957,
679,953,951,957,
680,953,951,957,
681,953,956,957,
682,953,956,957,
683,952,960,959,
684,952,960,959,
685,953,958,957,
686,953,958,957,
687,952,959,959,
688,952,959,959,
689,953,959,958,
690,953,959,958,
691,955,959,959,
692,955,959,959,
693,960,959,959,
694,960,959,959,
695,960,959,958,
696,960,959,958,
697,960,959,959,
698,960,959,959,
699,960,959,959,
700,960,959,959,
701,960,959,959,
702,960,959,959,
703,960,960,959,
704,960,960,959,
705,961,959,959,
706,961,959,959,
707,960,960,960,
708,960,960,960,
709,960,960,960,
710,960,960,960,
711,960,960,960,
712,960,960,960,
713,960,961,960,
714,960,960,960,
715,960,960,960,
716,960,960,959,
717,960,960,959,
718,960,959,959,
719,960,959,959,
720,960,959,959,
721,960,959,959,
722,960,960,959,
723,960,960,959,
724,960,959,959,
725,960,959,959,
726,960,959,959,
727,960,959,959,
728,960,959,959,
729,960,959,959,
730,960,960,959,
731,960,960,959,
732,960,959,958,
733,960,959,958,
734,960,958,958,
735,960,958,958,
736,960,958,958,
737,960,958,958,
738,961,960,960,
739,961,960,960,
740,960,960,960,
741,960,960,960,
742,960,960,960,
743,960,960,960,
744,960,959,960,
745,960,960,959,
746,960,960,959,
747,960,959,960,
748,960,959,960,
749,960,959,959,
750,960,959,959,
751,960,959,959,
752,960,959,959,
753,960,959,959,
754,960,959,959,
755,960,959,959,
756,960,959,959,
757,960,959,959,
758,960,959,959,
759,960,959,959,
760,960,959,959,
761,960,959,959,
762,960,959,959,
763,960,959,959,
764,960,959,959,
765,960,959,959,
766,960,959,959,
767,960,959,957,
768,960,959,957,
769,960,959,958,
770,960,959,958,
771,960,959,957,
772,960,959,957,
773,960,959,957,
774,960,959,957,
775,960,959,957,
776,960,959,957,
777,960,959,957,
778,960,958,957,
779,960,958,957,
780,960,957,957,
781,960,957,957,
782,960,958,957,
783,960,958,957,
784,960,959,957,
785,960,959,957,
786,960,959,957,
787,960,959,957,
788,960,959,957,
789,960,959,957,
790,958,959,957,
791,958,959,957,
792,958,959,957,
793,958,959,957,
794,958,959,959,
795,958,959,959,
796,958,959,959,
797,958,959,959,
798,959,959,958,
799,959,959,958,
800,960,957,958,
801,960,957,958,
802,959,958,958,
803,959,958,958,
804,958,959,958,
805,958,959,958,
